,amp1mean,amp100dstd,amp10dstd,amp100dmean,power5,amp1dskew,amp100dkurt,amp10skew,power2,power1,amp1000std,amp1000dskew,amp1skew,amp100skew,amp10dskew,amp10std,amp1000dstd,power9,power4,amp100kurt,power10,power7,amp10dkurt
LanaDelRey\01 Born to Die.mp3,0.6562237648343104,0.641770279408695,1.5715466314600743,0.26112249400074034,-0.6621865296054217,-0.5555091579653432,-0.7108214596293619,-0.44989926088861454,1.4416010849676746,0.25638504298451564,0.45057044157319537,0.9072093824854148,-1.0525145463884946,-0.464434727268112,1.37337096905842,0.7332290843816368,0.3902210136770903,-1.622709800354204,0.639840672341612,-0.734744329200028,-1.0070196284788095,-1.1261538945407945,-0.8316719647185121
LanaDelRey\02 Off to the Races.mp3,0.2802703470260629,1.2525098441019575,0.15031931410422544,-4.69980853828076,-0.9467687216020043,-0.8707266846533896,-0.8591881320107231,-0.04711102685640565,-0.08172014240627266,0.6462021122563286,0.8546666212746742,-0.9303050862668747,-0.32655562539785093,-0.18861631805412915,-0.5830706365542342,0.856019130076225,0.6580223067685249,-0.7110329850462264,-0.273413242139016,-0.8650351103142935,-0.7081573808233325,0.26560374413867305,0.1051331276465706
LanaDelRey\03 Blue Jeans (Remastered).mp3,0.3391320113414764,-0.3306711697951132,1.2109016119836336,0.7594231684919075,-1.255030555244381,-0.2125324512362092,0.19676497272654225,-0.024930568856857974,1.627318159587681,-0.19495228575170678,-0.30657305896717263,0.9272669334141384,-0.3915449184161775,1.7534702529650357,0.22317178361524792,0.15559374613378016,-0.3500961329421993,-1.272036309870503,-0.4572011789000059,0.23696859761375821,-0.41331672558836496,0.3119573601919691,-0.7286110652420639
LanaDelRey\04 Video Games (Remastered).mp3,0.34757438396205226,-1.130420092721799,0.47732931831004405,0.2648746189866019,-1.6081776048791063,2.2572693524967784,-0.6013156429506962,-2.2785395558917125,1.7127304683414677,0.7226436857899615,-1.0870613116899566,0.938976765063187,-2.4667669923609816,0.12730862392281328,0.39369319212342996,-0.6264363478625516,-1.1074159449688126,-0.5715458708359593,-0.5374171567285541,-0.7752400793908744,-0.4551264093605337,-1.0430444886576706,-1.0125526878776374
LanaDelRey\05 Diet Mountain Dew.mp3,0.4292550628453082,0.2390985535626826,3.164610534054931,0.26755369307683174,-0.16868127013301357,-0.7135367897621986,-0.4952384247815831,0.2183639649321244,-0.08456697280120438,2.023299744948209,0.5839944648370096,-0.4552438081870877,-0.5226653772936333,-0.6750917349701597,1.1603073544678535,1.9729010446471427,0.5436444332494835,-1.184893587487564,-0.28740327784073283,-0.4456319888672166,-0.3271867162023257,-0.38726257906884426,-0.7831555413003383
LanaDelRey\06 National Anthem.mp3,0.19210009723621993,0.5534646794694332,2.2380367409795765,0.40991414732141884,-0.8593256247593973,-0.46417343184242105,1.653263427420649,-0.23160148249864249,0.883072931679742,0.029501091611972934,0.5264421785139656,0.024541164168159466,-0.11807978456946887,1.123750248347733,-0.22324609524159658,0.9520509192938985,0.5685518006265954,-1.7759653871832417,0.8691165180211173,1.7836100011538134,-1.0494477606745218,-0.7089439331796038,-0.12904226843786276
LanaDelRey\07 Dark Paradise.mp3,0.1314626729006401,1.6849158700617666,-0.01684602042995302,-0.09883278423255759,-0.8165737013844407,-0.22141498163676743,-0.7839920731516098,0.05829763341616619,0.8055646819779653,0.4471440551528688,0.7055199998340954,-2.1622206661282397,0.11837089569337064,-0.19910878848761393,0.2660249266357495,0.6761907969609663,0.3313063744048873,-0.06776581009163868,-0.4423124225115197,-0.7659323140491522,1.1851444641046809,-1.1662755623846557,-0.6432773310114033
LanaDelRey\08 Radio.mp3,0.12433238689149508,0.08974321172088733,1.504290060449825,0.19782315060822447,-0.5660121161841051,-0.5445293502384864,0.9903454576273218,0.2973745373947943,0.9132593549060484,0.5874703385550265,0.9949798209550507,-0.65588159305049,0.2413122553229882,-0.4092917969127123,0.1498782033470992,0.5465848637268044,1.1935336418794795,-1.2424807690042274,-0.30023992015395046,1.0489386636543898,-0.3269104095718699,-0.7506761488135063,-0.5599532119466247
LanaDelRey\09 Carmen.mp3,0.38287521688636356,1.421749945914578,-0.353852596665238,-2.8055574773715644,-1.2079725645889503,-0.31304971708778817,-0.957531870723888,-0.405078671359143,0.4931788661521898,1.4198254902142293,2.1761356205772917,0.9162938286643929,-0.6514291957962103,1.7582475117724325,-1.197714909907674,0.5391523002061583,2.6278290832869584,-1.4088721696232278,-0.11902823326927171,-0.9600846631891161,-1.2346260308822632,-1.1113369144713003,0.6244962229863797
LanaDelRey\10 Million Dollar Man.mp3,0.4534062858438066,0.07543309867736915,1.2442757725506601,0.07685620445048945,-1.0807766231068672,-0.3266845720560515,0.8239396965155291,0.588350927745694,2.2714319214177836,-0.20737731542930268,-0.06972124112999196,0.8632011361333343,-0.6999854239405062,-0.7191529911829342,2.9282145584401618,0.19440321868386742,-0.1199486650573531,-1.3970535044620735,-0.21225500117790802,0.6718155317323143,-1.2541854941492392,-0.41896752993660247,-0.7507328397089292
LanaDelRey\11 Summertime Sadness.mp3,0.2925328337635582,0.6226817888814565,0.4154114159870703,0.3364741176507996,-0.8937392814992674,-0.9112227648347545,-0.5673345052434042,-0.17092619436521353,1.1569808812024902,-0.20012313116624578,0.6354943424259887,0.4650555094967533,-0.484815651402903,-0.31070220118467107,-1.5830696009826704,0.5503929043017468,0.7191354968725073,-0.05757077787888269,0.09768128333939362,-0.5577549019537362,0.11510857119166823,-0.37717542519836605,-0.5721555446708114
LanaDelRey\12 This Is What Makes Us Girls.mp3,0.31062246292953444,0.05931350617881259,0.5077818776144986,0.5895044932340222,-0.6029347411874734,-0.8499668549861803,0.5468608015607742,0.7240232483372872,0.5130104048518298,0.33811008702754114,0.024099255912051386,0.01680177100938572,-0.6228061038703203,-0.34104358093324294,-0.5709354755146968,0.22971690632319722,0.02339216273839657,-1.3570917231173043,0.3162672035058555,0.45420615023284466,-0.40661939123981156,-0.6319262047078519,-0.2963008339999181
